name	team	rush_att	rush_yds	rush_tds	rec_att	rec_yds	rec_tds	fumbles	fpts	pos
Larry Fitzgerald	ARI	0.1	0.4	0.0	69.8	860.6	4.8	1.3	112.2	WR
John Brown	ARI	2.4	14.4	0.0	56.1	801.1	5.2	0.4	112.1	WR
Charles Johnson	MIN	0.4	0.3	0.0	57.7	820.2	5.1	0.2	112.1	WR
Devin Funchess	CAR	0.0	0.0	0.0	60.3	787.4	5.4	0.7	109.5	WR
Pierre Garcon	WAS	0.1	0.2	0.0	70.4	846.4	3.9	0.4	107.4	WR
Doug Baldwin	SEA	1.3	8.5	0.0	57.8	767.6	5.0	0.7	106.4	WR
Kendall Wright	TEN	2.4	16.0	0.0	70.1	798.7	4.3	1.2	105.0	WR
Terrance Williams	DAL	0.1	0.2	0.0	41.3	687.4	6.1	0.5	104.3	WR
Malcom Floyd	SD	0.0	0.0	0.0	43.1	762.1	4.7	0.2	103.8	WR
Rueben Randle	NYG	0.0	0.0	0.0	53.7	779.1	4.2	0.4	102.1	WR
Victor Cruz	NYG	0.0	0.0	0.0	60.0	792.1	3.9	0.5	101.8	WR
Breshad Perriman	BAL	0.0	0.0	0.0	50.2	708.6	5.1	0.6	100.2	WR
Brandon LaFell	NE	0.3	2.1	0.0	52.6	717.8	4.8	1.1	98.8	WR
Eddie Royal	CHI	0.5	4.0	0.0	58.9	706.4	4.7	1.7	95.9	WR
Brian Quick	STL	0.0	0.0	0.0	49.2	696.3	4.4	0.5	94.8	WR
Dwayne Bowe	CLE	0.0	0.0	0.0	54.3	752.1	3.4	0.7	94.1	WR
Markus Wheaton	PIT	3.2	19.4	0.0	55.2	700.8	3.2	0.4	90.7	WR
Kenny Britt	STL	0.2	0.1	0.0	46.2	670.7	3.7	0.4	88.7	WR
Martavis Bryant	PIT	1.8	11.0	0.0	35.9	563.9	5.2	0.4	87.6	WR
Steve Johnson	SD	0.0	-0.1	0.0	48.6	630.0	4.2	0.5	87.2	WR
Percy Harvin	BUF	14.9	91.5	0.6	53.7	593.5	3.1	1.9	87.1	WR
Kenny Stills	MIA	2.2	13.7	0.0	44.8	651.2	3.4	0.4	86.0	WR
Michael Crabtree	OAK	0.1	0.8	0.0	57.2	649.2	3.5	0.3	85.2	WR
Devante Parker	MIA	0.0	0.0	0.0	46.2	618.6	3.9	0.6	83.8	WR
Allen Hurns	JAC	1.9	12.2	0.0	47.0	611.7	3.5	0.4	82.5	WR
Brandon Coleman	NO	0.0	0.0	0.0	41.7	607.2	3.8	0.6	82.5	WR
Marvin Jones	CIN	1.4	8.7	0.0	40.0	534.0	3.8	0.4	76.2	WR
Cody Latimer	DEN	0.0	0.0	0.0	41.7	552.2	3.7	0.6	76.1	WR
Greg Jennings	MIA	0.0	0.0	0.0	40.3	541.6	3.6	0.4	75.2	WR
Andrew Hawkins	CLE	4.3	30.7	0.0	47.8	569.2	2.2	0.2	72.9	WR
Jermaine Kearse	SEA	0.4	3.0	0.0	36.9	535.1	3.3	0.4	72.7	WR
Cole Beasley	DAL	0.0	0.0	0.0	45.7	531.1	3.6	1.2	72.2	WR
