name	team	rush_att	rush_yds	rush_tds	rec_att	rec_yds	rec_tds	fumbles	fpts	pos
Danny Woodhead	SD	64.6	256.4	1.1	49.7	445.2	2.2	1.5	87.1	RB
Fred Jackson	FA	84.0	335.0	3.0	35.0	275.0	1.0	0.0	85.0	RB
Duke Johnson	CLE	96.8	415.6	2.9	29.7	244.6	0.6	1.5	83.9	RB
Reggie Bush	SF	87.2	381.0	1.8	38.0	299.3	0.9	1.4	81.1	RB
Knile Davis	KC	103.4	404.7	4.0	16.0	124.7	0.7	2.2	76.7	RB
Jonas Gray	NE	102.3	445.4	4.1	9.9	70.6	0.3	0.8	76.2	RB
Darren Sproles	PHI	48.7	225.6	1.9	42.9	376.9	1.2	1.6	75.8	RB
David Cobb	TEN	107.2	444.0	3.0	15.4	125.6	0.4	1.2	75.0	RB
Roy Helu	OAK	70.0	292.7	1.7	38.1	310.5	1.1	1.7	73.9	RB
Lorenzo Taliaferro	BAL	89.9	372.2	3.3	17.5	152.1	0.8	1.8	73.5	RB
David Johnson	ARI	94.7	372.4	2.7	23.5	190.9	0.5	1.2	73.3	RB
Andre Williams	NYG	106.4	418.7	3.6	13.0	94.5	0.2	1.2	72.0	RB
Matt Jones	WAS	76.7	319.4	2.6	26.8	217.0	0.6	2.1	68.8	RB
Ronnie Hillman	DEN	85.5	357.5	2.7	17.9	141.3	0.8	1.2	68.7	RB
Daniel Herron	IND	76.4	324.7	2.3	26.9	215.6	0.7	2.1	67.9	RB
Denard Robinson	JAC	89.3	377.2	2.2	25.5	165.6	0.7	2.2	67.0	RB
Lance Dunbar	DAL	66.7	276.8	1.4	28.0	258.4	1.0	1.0	65.9	RB
James Starks	GB	79.3	337.4	1.7	18.6	142.1	0.7	0.9	60.8	RB
Damien Williams	MIA	77.9	306.1	2.0	18.0	153.7	0.5	0.8	59.3	RB
Terrance West	CLE	83.3	345.7	2.1	13.5	98.9	0.5	1.4	57.0	RB
Bilal Powell	NYJ	55.0	226.3	1.5	28.2	218.8	0.6	0.8	55.2	RB
Jerick McKinnon	MIN	60.6	286.2	1.6	23.5	156.9	0.4	0.6	55.0	RB
DeAngelo Williams	PIT	84.8	350.8	1.8	11.7	100.4	0.2	1.8	53.6	RB
James White	NE	45.8	189.4	1.0	27.0	209.8	1.2	0.8	51.1	RB
Robert Turbin	SEA	63.9	271.8	1.2	15.3	132.8	0.8	0.9	50.8	RB
Dexter McCluster	TEN	39.3	154.7	0.7	30.8	261.8	1.0	0.8	50.3	RB
Ray Rice	FA	67.0	275.0	2.0	14.0	100.0	0.0	0.0	49.5	RB
Theo Riddick	DET	26.0	99.2	0.5	31.0	270.1	1.8	0.8	49.2	RB
Benny Cunningham	STL	41.3	166.1	0.9	28.4	228.6	0.9	0.6	49.1	RB
Javorius Allen	BAL	64.5	283.2	1.8	13.0	102.4	0.3	1.0	49.1	RB
Branden Oliver	SD	65.2	255.5	2.0	13.3	105.1	0.3	0.6	48.5	RB
Mike Tolbert	CAR	47.9	162.9	1.7	18.3	132.4	1.0	0.2	45.4	RB
Chris Johnson	ARI	60.1	242.5	1.4	13.0	98.1	0.6	0.9	44.0	RB
Montee Ball	DEN	57.5	236.1	1.9	8.1	58.0	0.4	0.7	41.5	RB
Stevan Ridley	NYJ	62.6	264.8	1.9	5.5	38.3	0.1	1.3	39.5	RB
Cameron Artis-Payne	CAR	53.8	220.2	1.5	8.4	69.5	0.2	0.4	38.1	RB
Jacquizz Rodgers	CHI	45.6	178.1	1.1	18.1	125.1	0.5	0.9	37.8	RB
Toby Gerhart	JAC	36.9	147.1	1.1	16.0	129.6	0.4	0.9	35.1	RB
Karlos Williams	BUF	46.8	187.4	1.3	8.2	62.9	0.2	0.5	33.3	RB
DeAnthony Thomas	KC	12.3	71.3	0.2	24.0	180.5	1.1	0.0	33.2	RB
Brandon Bolden	NE	43.4	173.1	1.4	10.3	69.7	0.2	0.6	32.7	RB
Khiry Robinson	NO	37.3	163.9	1.4	7.5	62.8	0.2	0.5	31.7	RB
Fozzy Whittaker	CAR	36.1	142.7	0.7	8.0	81.4	0.9	0.8	30.5	RB
Marcel Reece	OAK	18.6	73.7	0.5	19.9	172.0	0.7	0.6	30.3	RB
Josh Robinson	IND	44.3	185.0	0.7	7.6	59.8	0.1	0.0	29.0	RB
Darrel Young	WAS	8.4	35.2	1.5	9.1	83.2	1.3	0.1	28.5	RB
Jonathan Grimes	HOU	34.0	134.8	0.6	9.3	81.5	0.4	0.4	27.2	RB
