id,last,first,pos,pos1,team,patt,pcmp,pyds,p300,ptds,pint,ratt,ryds,r100,rtds,rec,cyds,c100,ctds,fum,FGM,FGA,EPM,EPA,TD,FF,FR,INT,Sack,Saf,yds,pts,iInt,iPD,iTck,iAst,iSack,iFF,iFR,iTD,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,GP,age,exp,kryd,krtd,pryd,prtd
BenjTr00,Benjamin,Travis,wr,,cle,0,0,0,0,0,0,0,3,0,0,33,484,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,25,3,661,0.170000001788139,350,0.439999997615814,
BennEa00,Bennett,Earl,wr,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,27,7,,,,,
BennMa00,Bennett,Martellus,te,,chi,0,0,0,0,0,0,0,0,0,0,55,597,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,27,7,,,,,
BernGi00,Bernard,Giovani,rb,,cin,0,0,0,0,0,0,232,959,3,6,66,533,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,23,2,,,,,
BersBr00,Bersin,Brenton,wr,,car,0,0,0,0,0,0,0,0,0,0,20,265,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,24,3,,,,,
BlacJu00,Blackmon,Justin,wr,,jax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,,,,,
BlanRo01,Blanchflower,Rob,te,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2014,1,,,,,
BlouLe00,Blount,LeGarrette,rb,,pit,0,0,0,0,0,0,93,421,0,3,10,79,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,28,5,170,0.0399999991059303,0,0,
BlueAl01,Blue,Alfred,rb,,htx,0,0,0,0,0,0,57,237,0,1,9,67,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2014,1,53,0.00999999977648258,0,0,
BohaTo00,Bohanon,Tommy,rb,,nyj,0,0,0,0,0,0,19,79,0,1,7,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,24,2,,,,,
