name	team	pass_att	pass_cmp	pass_yds	pass_tds	pass_ints	rush_att	rush_yds	rush_tds	fumbles	fpts	pos
Sam Bradford	PHI	522.9	320.1	3815.2	25.5	12.7	39.9	129.4	1.3	4.9	240.0	QB
Carson Palmer	ARI	557.9	343.4	4054.3	24.4	14.1	23.9	60.8	0.6	3.1	235.2	QB
Alex Smith	KC	500.0	311.8	3430.5	21.5	10.9	55.2	275.3	1.5	3.8	230.2	QB
Andy Dalton	CIN	526.9	324.4	3649.9	22.4	18.2	54.7	184.4	1.9	3.7	221.9	QB
Marcus Mariota	TEN	493.7	296.6	3446.0	18.6	15.2	67.0	358.3	2.0	4.7	220.4	QB
Jameis Winston	TB	519.8	307.5	3806.3	20.9	17.8	44.4	177.7	1.2	4.9	215.3	QB
Blake Bortles	JAC	533.6	316.8	3501.6	17.8	17.6	58.9	358.2	1.2	5.0	208.7	QB
Derek Carr	OAK	584.6	346.1	3810.6	20.7	15.5	30.0	98.6	0.7	5.5	207.3	QB
Nick Foles	STL	501.2	305.3	3471.8	20.0	14.1	38.4	165.2	1.0	4.1	205.1	QB
Tyrod Taylor	BUF	394.2	238.5	2599.1	15.0	14.0	62.0	296.1	1.7	3.5	168.8	QB
Josh McCown	CLE	437.5	253.8	3001.5	14.1	13.7	37.3	172.7	1.7	6.3	163.6	QB
Kirk Cousins	WAS	413.0	255.6	3028.5	15.4	14.0	18.4	70.2	0.3	3.9	155.8	QB
Brian Hoyer	HOU	389.4	228.6	2689.5	14.2	12.0	23.5	47.4	0.5	3.1	141.8	QB
Ryan Fitzpatrick	NYJ	317.8	193.2	2236.3	13.4	9.9	34.3	143.2	0.9	2.0	138.8	QB
Geno Smith	NYJ	193.4	113.2	1338.0	8.0	6.9	24.5	117.1	1.0	2.0	85.2	QB
Ryan Mallett	HOU	145.2	87.2	1049.0	5.3	4.0	14.8	35.5	0.3	0.6	59.3	QB
Robert Griffin III	WAS	96.7	59.9	705.8	3.7	2.7	14.7	83.3	0.5	2.0	44.8	QB
Johnny Manziel	CLE	83.8	47.7	546.2	2.8	2.9	10.9	41.0	0.4	0.8	32.2	QB
E.J. Manuel	BUF	72.5	42.7	481.3	2.9	2.2	8.9	32.1	0.1	0.5	29.5	QB
Mark Sanchez	PHI	47.5	29.4	351.5	2.4	1.8	5.5	14.7	0.0	0.3	21.2	QB
Matt Cassel	BUF	48.3	27.7	320.3	1.4	2.0	5.2	15.2	0.1	0.6	15.1	QB
Kellen Moore	DET	33.3	20.3	228.3	1.4	1.0	2.4	7.3	0.1	0.2	13.9	QB
Colt McCoy	WAS	30.3	19.4	220.6	1.5	1.0	3.1	10.0	0.1	0.3	13.6	QB
B.J. Daniels	SEA	28.7	16.9	203.7	1.2	1.0	2.7	10.6	0.0	0.1	12.1	QB
Derek Anderson	CAR	23.3	13.9	168.1	1.1	0.7	2.7	7.4	0.0	0.3	10.2	QB
Drew Stanton	ARI	27.0	16.1	186.0	1.0	0.8	2.0	6.5	0.0	0.2	10.2	QB
Brandon Weeden	DAL	19.6	11.7	140.6	1.1	0.3	1.1	3.0	0.0	0.1	9.4	QB
Zach Mettenberger	TEN	23.1	13.5	154.3	0.9	0.7	1.4	5.8	0.0	0.1	8.8	QB
Jimmy Clausen	CHI	24.0	13.8	157.7	0.9	0.6	1.9	6.4	0.0	0.4	8.7	QB
Austin Davis	STL	21.8	13.3	143.6	0.8	0.7	2.2	5.6	0.0	0.2	7.9	QB
Chase Daniel	KC	17.9	10.5	115.6	0.7	0.3	1.9	8.6	0.0	0.1	7.7	QB
Mike Glennon	TB	18.9	11.1	129.3	0.8	0.7	3.8	8.4	0.0	0.2	7.5	QB
Michael Vick	PIT	16.5	9.4	106.0	0.7	0.3	3.4	14.1	0.0	0.3	7.4	QB
Blaine Gabbert	SF	19.7	11.6	133.7	0.3	0.4	2.5	8.5	0.0	0.2	6.6	QB
Shaun Hill	MIN	17.7	10.6	123.0	0.6	0.5	0.8	1.5	0.1	0.1	6.3	QB
Chad Henne	JAC	20.9	11.9	127.1	0.5	0.5	1.5	6.2	0.0	0.2	6.3	QB
Case Keenum	STL	15.9	9.4	107.6	0.6	0.4	0.3	2.0	0.0	0.1	6.2	QB
Jimmy Garoppolo	NE	16.3	9.5	103.0	0.6	0.5	1.4	3.1	0.0	0.1	5.8	QB
Scott Tolzien	GB	11.4	7.2	80.6	0.3	0.3	1.0	5.4	0.1	0.1	4.6	QB
AJ McCarron	CIN	5.0	2.9	34.2	0.0	0.0	0.1	0.3	0.5	0.0	4.4	QB
Christian Ponder	OAK	12.4	7.0	71.2	0.3	0.4	1.9	8.1	0.1	0.2	4.4	QB
Ryan Nassib	NYG	9.5	5.9	66.5	0.4	0.3	0.7	0.9	0.0	0.0	3.6	QB
Matt Hasselbeck	IND	9.1	5.9	67.8	0.2	0.1	0.8	0.3	0.0	0.1	3.2	QB
